,City Name,Cloudiness (%),Combined,Country,Humidity (%),Latitude,Longitude,Temperature (F),Wind Speed (mph)
0,bredasdorp,0.0,"bredasdorp, za",za,93.0,-113.49766956243622,11.48672147037387,57.2,4.7
1,port alfred,0.0,"port alfred, za",za,84.0,-87.57211256173363,41.352786876892196,71.46,20.94
2,port alfred,0.0,"port alfred, za",za,84.0,-101.42341855556094,43.740576098963956,71.46,20.94
3,port elizabeth,90.0,"port elizabeth, za",za,97.0,-88.8742390845926,30.774164071963273,34.39,11.41
4,port elizabeth,90.0,"port elizabeth, za",za,97.0,-156.70759656010978,47.49660297280439,34.39,11.41
5,port alfred,0.0,"port alfred, za",za,84.0,-91.50578549493567,49.61786396839207,71.46,20.94
6,grand river south east,,"grand river south east, mu",mu,,-23.1387469291804,67.59380890123943,,
7,albany,90.0,"albany, au",au,74.0,-140.22356100224172,76.64951991919847,35.15,8.05
8,port alfred,0.0,"port alfred, za",za,84.0,-121.7759088539259,68.67867462243098,71.46,20.94
9,dondo,75.0,"dondo, mz",mz,74.0,-18.94752863747371,35.27359806558391,80.6,9.98
10,port alfred,0.0,"port alfred, za",za,84.0,-62.69712269368834,42.09962822088687,71.46,20.94
11,port elizabeth,90.0,"port elizabeth, za",za,97.0,-85.40035055296966,33.30900044853776,34.39,11.41
12,bredasdorp,0.0,"bredasdorp, za",za,93.0,-163.8389703310933,36.479490936091175,57.2,4.7
13,taolanaro,,"taolanaro, mg",mg,,-65.75536730531498,58.3575256752731,,
14,port alfred,0.0,"port alfred, za",za,84.0,-75.15646406647257,39.6601349515164,71.46,20.94
15,port alfred,0.0,"port alfred, za",za,84.0,-56.766558764085204,33.23198370099472,71.46,20.94
16,port alfred,0.0,"port alfred, za",za,84.0,-94.34925061231155,59.17843271793268,71.46,20.94
17,albany,90.0,"albany, au",au,74.0,-119.8391597765912,80.27668484011505,35.15,8.05
18,hermanus,0.0,"hermanus, za",za,88.0,-81.18823179422803,2.730357932905314,55.8,2.93
19,bredasdorp,0.0,"bredasdorp, za",za,93.0,-102.24605008679521,19.472973513121225,57.2,4.7
20,port alfred,0.0,"port alfred, za",za,84.0,-98.89985012118959,53.260425879974974,71.46,20.94
21,saint-philippe,90.0,"saint-philippe, re",re,69.0,-41.01083738046984,63.50704580615133,34.23,8.05
22,taolanaro,,"taolanaro, mg",mg,,-54.35301723792401,54.14693070309664,,
